City,Longitude,Latitude
Mexico_City,-99.13800114855286,19.410747872191045
Mogadishu,45.31650453745651,2.0629731097981905
Moscow,37.61303245911098,55.751883102164626
Nairobi,36.8480810406605,-1.2684142794579243
Nanjing,118.79291359557367,32.03794348287253
New_York,-73.90241090833527,40.71485243808948
Phoenix,-112.02465890789166,33.49343151936101
Rabat,-6.836890888213732,33.993793614468984
Salvador,-38.44954769564376,-12.933817035616327
Santiago,-70.65454265459083,-33.4736894236295
Singapore,103.85458696024847,1.3471433256561223
Sydney,151.12085151702453,-33.86319015124032
Teheran,51.40780262089734,35.70162175594229
Tokyo,139.7097589478329,35.7126404505807
Toronto,-79.40757485612286,43.72912905391694
Tschwane,28.232997751549874,-25.74672503481869
